station_id,ym,rain_mm,temp_c,wind_ms
C0K291,2018-01,76.5,16.8,3.8
C0K291,2018-02,20,15.9,3.2
C0K291,2018-03,42.5,20.4,2.8
C0K291,2018-04,15,23.9,2.8
C0K291,2018-05,58,27.7,2.6
C0K291,2018-06,417.5,28,2.7
C0K291,2018-07,147,28.8,2.3
C0K291,2018-08,897,28,2.4
C0K291,2018-09,8,27.8,3.3
C0K291,2018-10,1,24,3.9
C0K291,2018-11,12,22.7,3.3
C0K291,2018-12,0.5,20,4.7
C0K291,2019-01,5,17.9,4.6
C0K291,2019-02,18.5,20,3.8
C0K291,2019-03,109,20.8,3
C0K291,2019-04,112,24.4,2.7
C0K291,2019-05,124.5,25.4,2.3
C0K291,2019-06,280,28.4,1.9
C0K291,2019-07,241,28.8,2.1
C0K291,2019-08,295,28.6,2.4
C0K291,2019-09,9.5,27.6,3.1
C0K291,2019-10,0,25.4,3.2
C0K291,2019-11,0,22.1,4
C0K291,2019-12,151.5,18.8,4
C0K291,2020-01,7,17.7,3.5
C0K291,2020-02,5,18.5,3.4
C0K291,2020-03,32.5,21.6,3.1
C0K291,2020-04,36,21.8,3.2
C0K291,2020-05,303,27.2,2.1
C0K291,2020-06,61.5,29.4,2.1
C0K291,2020-07,147,29.7,2
C0K291,2020-08,373,28.6,2
C0K291,2020-09,11.5,28.1,2.6
C0K291,2020-10,0,25.2,3.9
C0K291,2020-11,9,23,3.5
C0K291,2020-12,12,18.9,5
C0K291,2021-01,1.5,15.3,4.1
C0K291,2021-02,27,17.8,3.1
C0K291,2021-03,7,20.2,3.3
C0K291,2021-04,20,23.1,3.2
C0K291,2021-05,176,28.2,2.5
C0K291,2021-06,428.5,28.2,2.1
C0K291,2021-07,194,29,2.6
C0K291,2021-08,654,28.2,1.8
C0K291,2021-09,20.5,29.2,2.1
C0K291,2021-10,6.5,26.4,2.8
C0K291,2021-11,5.5,22,3.4
C0K291,2021-12,13,18.5,4
C0K291,2022-01,26.5,17.7,4.1
C0K291,2022-02,77.5,16.3,4.6
C0K291,2022-03,87.5,21.1,2.9
C0K291,2022-04,63.5,23.2,3.1
C0K291,2022-05,301,24.6,2.6
C0K291,2022-06,146.5,28.6,1.8
C0K291,2022-07,109.5,29.7,2
C0K291,2022-08,82.5,29.1,1.7
C0K291,2022-09,7.5,28,3.1
C0K291,2022-10,9,25.4,3.8
C0K291,2022-11,5.5,24,3
C0K291,2022-12,40.5,17.9,5
C0K291,2023-01,4,16.7,4.3
C0K291,2023-02,0.5,16.9,4.3
C0K291,2023-03,2.5,20,3.2
C0K291,2023-04,90.5,23.6,2.6
C0K291,2023-05,119,26.2,2.6
C0K291,2023-06,96,29,1.9
C0K291,2023-07,171.5,29.5,2.1
C0K291,2023-08,172,29,2
C0K291,2023-09,164,28.4,1.6
C0K291,2023-10,20,25.9,3.3
C0K291,2023-11,0,22.7,2.8
C0K291,2023-12,8,19.7,3.6
C0K291,2024-01,5,17.2,3.5
C0K291,2024-02,18.5,19,3.3
C0K291,2024-03,3.5,20.8,3
C0K291,2024-04,127.5,25.8,2.2
C0K291,2024-05,205,26.1,2.3
C0K291,2024-06,188,28.9,2.1
C0K291,2024-07,633,29.5,2.6
C0K291,2024-08,252,29.2,1.7
C0K291,2024-09,215,28.8,1.7
C0K291,2024-10,13,26.4,3.7
C0K291,2024-11,29.5,22.8,3.7
C0K291,2024-12,17.5,18.1,4.3
C0K291,2025-01,23.5,15.9,4
C0K291,2025-02,69.5,16,4.1
C0K291,2025-03,41.5,19.6,3.1
C0K291,2025-04,52.5,23.7,2.2
C0K291,2025-05,44.5,26.9,2.1
C0K291,2025-06,272.5,28.7,1.9
C0K291,2025-07,810.5,28.5,2.1
C0K291,2025-08,397.5,28.6,1.8
C0K291,2025-09,34.5,29,1.5
C0K291,2025-10,4,27.3,2.8
C0K291,2025-11,3.5,22.6,4
C0K291,2025-12,4,19.9,3.6
